City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,kapaa,22.0752,-159.319,26.99,77,40,6.17,US,1651608887
1,barrow,71.2906,-156.7887,-5.99,86,100,5.14,US,1651608707
2,busselton,-33.65,115.3333,13.33,68,84,4.85,AU,1651608889
3,mar del plata,-38.0023,-57.5575,16.08,59,0,6.17,AR,1651608890
4,vaini,-21.2,-175.2,23.09,88,20,2.57,TO,1651608890
5,weiser,44.251,-116.9693,16.05,59,24,5.81,US,1651608891
6,ushuaia,-54.8,-68.3,6.79,75,20,11.32,AR,1651608629
7,denpasar,-8.65,115.2167,26.81,94,40,2.06,ID,1651608892
8,thompson,55.7435,-97.8558,-1.91,69,75,2.06,CA,1651608893
9,san patricio,28.017,-97.5169,30.05,68,100,7.05,US,1651608893
10,chokurdakh,70.6333,147.9167,-2.69,96,100,1.76,RU,1651608894
11,esperance,-33.8667,121.9,14.2,62,100,6.06,AU,1651608895
12,atuona,-9.8,-139.0333,26.33,78,16,7.8,PF,1651608896
13,padang,-0.9492,100.3543,25.46,90,100,2.19,ID,1651608896
14,mombetsu,44.3525,143.3525,4.62,87,100,2.81,JP,1651608897
15,port alfred,-33.5906,26.891,17.32,94,68,1.34,ZA,1651608898
16,auras,26.9167,80.5167,28.97,42,2,4.26,IN,1651608899
17,albany,42.6001,-73.9662,18.71,57,100,1.79,US,1651608831
18,qarqin,37.4185,66.0436,24.93,41,100,5.26,AF,1651608899
19,punta arenas,-53.15,-70.9167,7.01,79,75,15.95,CL,1651608893
20,bichena,10.45,38.2,18.16,42,46,1.34,ET,1651608900
21,lahaina,20.8783,-156.6825,25.58,94,94,4.46,US,1651608807
22,cherskiy,68.75,161.3,0.39,81,91,5.93,RU,1651608901
23,guerrero negro,27.9769,-114.0611,19.78,59,100,6.7,MX,1651608902
24,rikitea,-23.1203,-134.9692,25.3,77,100,7.83,PF,1651608903
25,wright,45.1833,-93.9502,14.71,50,0,4.63,US,1651608903
26,ambanja,-13.6833,48.45,23.76,90,76,1.4,MG,1651608904
27,lebu,-37.6167,-73.65,13.13,85,16,7.72,CL,1651608905
28,hobart,-42.8794,147.3294,13.48,90,75,3.09,AU,1651608880
29,aleksandrov gay,50.147,48.5704,10.11,42,9,2.66,RU,1651608906
30,clyde river,70.4692,-68.5914,-7.73,73,10,3.93,CA,1651608698
31,hermanus,-34.4187,19.2345,16.75,93,0,3.43,ZA,1651608907
32,prado,-17.3411,-39.2208,25.18,73,0,3.11,BR,1651608908
33,lermontov,44.1067,42.9733,6.68,93,75,4.0,RU,1651608909
34,provideniya,64.3833,-173.3,-6.22,52,37,4.96,RU,1651608909
35,palmer,42.1584,-72.3287,13.65,70,100,1.54,US,1651608910
36,ilulissat,69.2167,-51.1,-1.99,74,75,3.6,GL,1651608911
37,margate,51.3813,1.3862,10.73,81,43,0.45,GB,1651608911
38,champerico,14.3,-91.9167,36.3,63,57,5.61,GT,1651608912
39,norman wells,65.282,-126.8329,14.02,44,75,9.77,CA,1651608913
40,salamiyah,35.0113,37.0532,23.59,31,36,3.7,SY,1651608915
41,pevek,69.7008,170.3133,-8.65,93,95,1.71,RU,1651608915
42,mitu,1.1983,-70.1733,27.49,78,100,0.53,CO,1651608916
43,isangel,-19.55,169.2667,25.88,85,13,1.86,VU,1651608917
44,nizwa,22.9333,57.5333,27.18,18,0,2.45,OM,1651608917
45,dikson,73.5069,80.5464,-19.15,100,64,1.6,RU,1651608918
46,naze,28.3667,129.4833,18.32,62,100,3.18,JP,1651608919
47,cooma,-36.2333,149.1333,5.83,93,28,1.73,AU,1651608919
48,ahmadnagar,19.0833,74.7333,28.24,46,0,5.35,IN,1651608920
49,la ronge,55.1001,-105.2842,0.14,86,100,7.2,CA,1651608909
50,iqaluit,63.7506,-68.5145,-8.15,72,20,8.05,CA,1651608921
51,rajapur,25.3833,81.15,33.08,40,59,5.65,IN,1651608922
52,genhe,50.7833,121.5167,6.7,69,100,4.05,CN,1651608922
53,castro,-24.7911,-50.0119,17.73,90,100,3.68,BR,1651608923
54,valcele,45.85,25.6833,9.89,58,100,1.22,RO,1651608924
55,llangefni,53.2556,-4.3106,11.17,93,100,5.14,GB,1651608924
56,havoysund,70.9963,24.6622,-1.87,64,68,13.34,NO,1651608925
57,rio gallegos,-51.6226,-69.2181,11.03,35,20,13.89,AR,1651608925
58,adre,13.4667,22.2,30.97,22,56,1.82,TD,1651608926
59,bluff,-46.6,168.3333,6.0,87,16,3.01,NZ,1651608926
60,saint-philippe,-21.3585,55.7679,21.77,83,50,4.76,RE,1651608927
61,kupang,-10.1667,123.5833,26.0,78,10,3.79,ID,1651608928
62,kaitangata,-46.2817,169.8464,9.0,83,6,1.59,NZ,1651608929
63,yellowknife,62.456,-114.3525,6.29,56,75,10.29,CA,1651608910
64,klaksvik,62.2266,-6.589,8.51,97,100,8.54,FO,1651608929
65,lamu,-2.2717,40.902,27.12,80,100,8.6,KE,1651608930
66,visby,57.6409,18.296,4.34,75,14,4.63,SE,1651608931
67,mataura,-46.1927,168.8643,5.82,93,11,1.22,NZ,1651608932
68,sao filipe,14.8961,-24.4956,22.95,76,0,4.32,CV,1651608933
69,georgetown,5.4112,100.3354,26.96,89,20,0.0,MY,1651608664
70,sorata,-15.7667,-68.6333,10.62,85,94,3.76,BO,1651608933
71,tasiilaq,65.6145,-37.6368,-1.91,77,100,2.33,GL,1651608934
72,camacha,33.0833,-16.3333,15.68,67,40,6.17,PT,1651608934
73,asosa,10.0667,34.5333,19.53,72,97,0.77,ET,1651608935
74,vila velha,-20.3297,-40.2925,27.97,78,20,6.69,BR,1651608935
75,fortuna,40.5982,-124.1573,17.14,67,20,5.66,US,1651608936
76,dudinka,69.4058,86.1778,-8.54,99,100,2.45,RU,1651608937
77,leningradskiy,69.3833,178.4167,-9.36,90,86,2.54,RU,1651608937
78,yatou,37.15,122.3833,13.7,83,0,6.65,CN,1651608938
79,chipinge,-20.1883,32.6236,12.59,95,27,1.23,ZW,1651608938
80,chuy,-33.6971,-53.4616,16.47,62,20,3.21,UY,1651608941
81,srandakan,-7.9386,110.2506,25.68,90,100,2.87,ID,1651608941
82,altamira,-3.2033,-52.2064,27.05,94,40,1.03,BR,1651608942
83,hithadhoo,-0.6,73.0833,27.2,82,94,7.37,MV,1651608942
84,broken hill,-31.95,141.4333,13.72,49,0,3.88,AU,1651608943
85,saldanha,-33.0117,17.9442,15.03,94,43,6.37,ZA,1651608943
86,hilo,19.7297,-155.09,25.71,96,100,3.6,US,1651608944
87,ostrovnoy,68.0531,39.5131,-2.63,67,100,9.68,RU,1651608944
88,atar,20.5169,-13.0499,32.97,11,0,3.74,MR,1651608945
89,rawson,-43.3002,-65.1023,20.68,35,100,9.67,AR,1651608945
90,acapulco,16.8634,-99.8901,30.9,66,75,2.57,MX,1651608946
91,pedernales,18.0384,-71.744,31.0,55,6,7.16,DO,1651608946
92,elizabeth city,36.2946,-76.2511,32.01,69,40,7.2,US,1651608947
93,bacungan,9.9106,118.7022,25.53,87,100,0.79,PH,1651608948
94,new norfolk,-42.7826,147.0587,13.29,84,100,2.57,AU,1651608949
95,longyearbyen,78.2186,15.6401,-11.09,62,40,3.09,SJ,1651608950
96,qaanaaq,77.484,-69.3632,-7.2,66,100,0.2,GL,1651608950
97,ucluelet,48.9329,-125.5528,8.94,84,100,1.53,CA,1651608805
98,torbay,47.6666,-52.7314,8.49,82,75,7.72,CA,1651608951
99,gazanjyk,39.2446,55.5154,19.97,66,100,3.36,TM,1651608952
100,jamestown,42.097,-79.2353,15.77,84,100,6.17,US,1651608909
101,darnah,32.767,22.6367,16.09,85,0,6.45,LY,1651608952
102,celestun,20.8667,-90.4,31.6,58,15,4.64,MX,1651608953
103,half moon bay,37.4636,-122.4286,26.34,41,0,7.2,US,1651608953
104,qasigiannguit,68.8193,-51.1922,-1.86,91,100,2.6,GL,1651608954
105,whitehorse,60.7161,-135.0538,8.43,44,75,8.23,CA,1651608928
106,port lincoln,-34.7333,135.8667,13.69,62,70,7.38,AU,1651608954
107,cabo san lucas,22.8909,-109.9124,28.67,44,0,4.63,MX,1651608895
108,caloundra,-26.8,153.1333,18.96,91,56,1.34,AU,1651608955
109,faya,18.3851,42.4509,19.06,51,22,1.88,SA,1651608956
110,ust-nera,64.5667,143.2,-6.11,95,82,1.73,RU,1651608956
111,pueblo,38.2545,-104.6091,19.88,41,0,4.63,US,1651608920
112,kyabe,9.4515,18.9449,28.94,57,100,3.36,TD,1651608957
113,kieta,-6.2167,155.6333,26.41,84,86,0.61,PG,1651608957
114,tutoia,-2.7619,-42.2744,27.45,84,99,3.3,BR,1651608958
115,lakes entrance,-37.8811,147.981,12.03,78,0,2.47,AU,1651608959
116,upernavik,72.7868,-56.1549,-10.8,86,15,4.54,GL,1651608774
117,nantucket,41.2835,-70.0995,13.06,66,100,6.17,US,1651608746
118,filadelfia,39.9523,-75.1638,24.43,52,75,6.69,US,1651608908
119,zhezkazgan,47.8043,67.7144,13.9,48,100,7.31,KZ,1651608960
120,laguna,38.421,-121.4238,25.6,26,0,7.72,US,1651608961
121,tuktoyaktuk,69.4541,-133.0374,-4.0,93,100,5.14,CA,1651608962
122,talnakh,69.4865,88.3972,-8.77,95,100,2.81,RU,1651608962
123,mount gambier,-37.8333,140.7667,10.21,86,94,3.07,AU,1651608963
124,puerto ayora,-0.7393,-90.3518,27.98,78,81,4.39,EC,1651608964
125,ust-maya,60.4167,134.5333,-0.68,85,51,3.85,RU,1651608964
126,kingman,35.1894,-114.053,23.96,8,0,4.12,US,1651608887
127,krasnyy chikoy,50.3643,108.7512,9.1,88,99,0.26,RU,1651608965
128,nemuro,43.3236,145.575,5.66,86,89,8.09,JP,1651608863
129,eldama ravine,0.0516,35.7308,14.49,90,100,0.85,KE,1651608966
130,kiunga,-6.1219,141.2906,22.88,100,100,0.77,PG,1651608967
131,roma,43.2128,-75.4557,19.97,59,75,2.06,US,1651608967
132,codrington,-38.2667,141.9667,12.26,78,97,4.07,AU,1651608968
133,waitati,-45.75,170.5667,12.67,85,12,1.11,NZ,1651608968
134,east london,-33.0153,27.9116,19.94,55,84,2.03,ZA,1651608969
135,caravelas,-17.7125,-39.2481,25.08,72,0,2.54,BR,1651608969
136,hofn,64.2539,-15.2082,6.03,88,100,1.45,IS,1651608970
137,villanueva,15.3167,-88.0,33.35,55,20,7.72,HN,1651608970
138,mareeba,-17.0,145.4333,19.69,93,4,0.97,AU,1651608971
139,wawa,9.9022,4.4192,31.3,47,83,1.54,NG,1651608971
140,valladolid,41.5833,-4.6667,12.13,74,26,7.21,ES,1651608972
141,owo,7.1962,5.5868,24.77,84,96,2.67,NG,1651608973
142,wawina,15.4167,-84.4333,29.26,76,100,2.8,HN,1651608973
143,butaritari,3.0707,172.7902,27.74,75,27,5.73,KI,1651608926
144,shingu,33.7333,135.9833,10.29,58,1,2.49,JP,1651608974
145,kahului,20.8947,-156.47,23.01,88,40,9.26,US,1651608975
146,bredasdorp,-34.5322,20.0403,16.06,97,3,0.67,ZA,1651608976
